trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
14,False,"{'a': 0.5, 'e': 0.9168}",25,0,-37.87350418881625,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9104}",25,0,-138.54150796249968,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.904}",35,0,-194.6161690161133,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.8976}",25,0,-135.5424515837177,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8912}",20,0,-109.36945499749875,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8848}",20,0,-91.64660939179727,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.8784}",25,0,-126.41137371450421,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.872}",20,0,-165.53048980066274,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.8655999999999999}",20,15,-1.7121103984892114,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.8592}",20,0,-165.68059125854867,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.8528}",20,0,-126.7044701626134,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.8464}",25,0,-48.92671285170474,"{0: 18, 1: 0, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.84}",25,19,6.518752080108378,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.8336}",20,8,-39.948567640598554,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.8271999999999999}",35,0,-129.35241591479618,"{0: 25, 1: 2, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.8208}",30,13,-66.95731617744408,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.8144}",25,0,-46.39086397498259,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.808}",20,0,-88.38376501427857,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8016}",35,28,11.870252340410964,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.7952}",20,0,-39.499990866989435,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7888}",30,0,-91.32139336224655,"{0: 19, 1: 6, 2: 4, 3: 0, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7824}",20,11,-25.654483331281824,"{0: 4, 1: 3, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.776}",20,0,-80.04628993539652,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.7696}",30,0,-167.5959238944763,"{0: 18, 1: 0, 2: 9, 3: 1, 4: 2}",0
38,False,"{'a': 0.5, 'e': 0.7632}",20,0,-63.18062695126874,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.7568}",25,12,-19.123571372685454,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7504}",25,1,-29.15840686424843,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.744}",25,7,-72.07131092487002,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
42,False,"{'a': 0.5, 'e': 0.7376}",25,0,-86.49096174999168,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
43,False,"{'a': 0.5, 'e': 0.7312}",20,12,-8.027827416543694,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7248}",25,0,-102.6729255040286,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.7183999999999999}",25,0,-27.183359090526963,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.712}",20,6,-38.33118154968424,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7056}",20,0,-15.530117842950096,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.6992}",20,11,-46.587636002826905,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6928}",25,10,-60.92550011524248,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.6864}",20,3,-86.59730741887363,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
51,False,"{'a': 0.5, 'e': 0.6799999999999999}",30,0,-78.36974808874938,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6736}",30,0,-105.2972972946197,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.6672}",20,0,-29.652791990584802,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.6608}",20,0,-115.41763739595241,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.6544}",30,0,-32.988140423353556,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
